101,67,130,139;1
120,101,58,130,68,88,130,130,67,130,130,57,79;7
84,72,73,70,135,91,73,58;5
100,70,129,70,84,53,55,80,59,135,66,137,72,83,83,68,79,137,139,92,129,141,90,142,129,91,54,54,53,137,137,61,73,91,137,91,129,129,54,54,84,70;3
82,88,100,90,141;11
82,66,70,137,137,82,82,82,82,82,82,82,82,82,140;6
84,100,68,84;1
81,104,120,96,58,88,88,68,88,88,97;7
82,96,75,57,101,58,68,57,88;7
101,130,93,100,93,93;0
131,75,105,131,137,70,131,68,143,84,53,80,70,53,72,84,80,91,51,91,137;5
75,96,67,79,100,86,57,68,68,58,105;6
84,55,80,63,53,70,70,141,90,142,140;12
100,88,68,130,130,141,142;1
143,84,143,143,143,59,66,143,140,84,55,80,84,137,92,82,82;3
53,80,75,141,90,141,90;11
130,100,68,58,57,130;1
84,135,81,53,84,80,70,73,95,59,66,66,66,66,76,91,126,137,53,91,143,143,80,91,137,91,140,140,59,70,90,141;12
140,55,84,91,91,143,143,84,91,91,143,143,84,91,137,91,131,131;3
58,67,82,57,58,137,129;6
140,137,131,53,84,131;3
88,68,80,91;1
130,88,68,140;1
88,68,80,91;9
53,55,84,80,84,91,70,59,95,59,59,70,70,141,90;10
93,100,67;1
100,67;1
73,140,140;2
73,61,73,141,90,139,79,80,91,137,84;9
119,61;9
139,130,101,67,67,58,68,88,100,88,68,139;7
93,62,92,62,141,90,67,75,141,90,141,90,75,57,96,55,84,73,145;6
58,57,88,58,62,68,75,96,88,101,88,57,139;0
96,75,75,75,53,55,84;6
131,119,59,73,105,55,84,131,70,91,137;5
131,137,130,55,131,137,55,84,137;3
90,141,142,142;11
100,68,73,72,131,137;1
58,68,88,67;7
72,73,72,105,83,93,120,80,81,91,137,84,91,101,93;4
81,73,72,137,91,137;8
130,71,100,88,68,139,100,88,68,88,130;1
92,82,131,137,55,75,75,131,62;5
130,67,100,88,68,57,67,82,130;1
55,84,131,131,72,107,73,72,58,68,88;5
130,88,68,57,130,67;1
87,78,125,100,68,96,57;1
58,57,67,81,68,88,130,88,68;7
101,57,58,68,139,75,75;6
58,57,80,59,66,95,63,106,94,53,84,52,55,80,70,90,141,91,137,91,91,126,91,137,91,143,90,142,143,142,70;3
62,81,62;6
57,70,141,142,95,54,54,93,93,79,93,66,59,66,141,142,54,54,54,54,54,54,54,54,54,54,141,142,54,54,54,54,66,70;11
90,93,142,67,93,93,93,67,57,96,92;0
57,100,82,75,82,75,84;6
140,80,91;9
140;2
58,67,58,68,67,107,71,64;7
139,140;2
140,73,143,137,55,143,84,143,84,137,91,137,80,91;3
70,66,88,68,57;7
137,53,143,140,140,143,84,143,91,80,63,84;3
56;17
101,67;1
82,75,92;6
137,91,70,80,70,66,69,70,80,91,63,70,94;12
82,130,82;6
82,75,146,130;6
100,139,101,58,68,67,88,68,88;7
84,141,90;11
100,68;1
129,80,137,137,91,84;9
130,101,57,58,68,139,75;7
130,88,130;1
101,58,68,57,67;7
57,100,98;1
67,88,68,80;7
62,67,93,67,57,100,93;0
54,54,100,68;1
67,100,68,57;1
100,68,73,72,131,137,92,53,84;3
130,96,100,68;1
93,93,93,93,55,80,91,137,96,84,91,141;4
75,57,96,55,84,73,145,60,60,60,137,91;5
58,68,88,96,67,58,71;7
141,90,142,90,141,142;11
130,100,68,88,81,101;1
101,79,139,100,67;1
131,100,88,139;1
73,72,58,68,88,57,101,88,68,139;7
140,92,57,137,53,55,143,137,143,84,120,72,73,137,91,80,91,76;4
130,100,88,88,88,130,130,57;1
100,88,68,91,63,80,91,72,73,55,84,72,84;12
120,66,141,142,90,67,81;11
75,146;6
140;2
67,82,75,75;6
